;genres;artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count
13078;['cali rap', 'oakland hip hop', 'west coast trap'];Kamaiyah;0.1701333333333333;0.8286666666666666;178348.33333333337;0.4466666666666667;0.0;0.276;-8.673666666666668;0.4189666666666666;94.66266666666668;0.3983333333333333;63.33333333333334;0;0;3
13079;['modern indie pop'];Kamal;0.931;0.153;549600.0;0.104;0.957;0.0626;-22.35;0.0363;77.66;0.039;49.0;1;1;2
13080;['classic bollywood'];Kamal Barot;0.9495;0.5770000000000001;193853.0;0.4925;0.3095;0.4683;-11.5325;0.0555;115.46699999999998;0.885;11.5;10;1;4
13088;['movie tunes'];Kamehameha Schools Children's Chorus;0.387;0.716;178180.0;0.4775;0.007743;0.08545;-11.177;0.0357;120.567;0.6705000000000001;66.0;2;1;4
13089;['gothic symphonic metal', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal'];Kamelot;0.0002306666666666;0.2956666666666667;261102.33333333328;0.9063333333333334;0.0085796666666666;0.1593333333333333;-6.662000000000003;0.0670666666666666;153.31866666666667;0.3413333333333333;51.33333333333334;10;0;3
13090;['contemporary country', 'country pop'];Kameron Marlowe;0.07565;0.5805;208074.0;0.867;0.0;0.154;-3.9095;0.04835;129.4525;0.6935;67.5;11;1;4
13091;['dark trap', 'emo rap', 'scream rap', 'underground hip hop'];Kami;0.216;0.929;407287.0;0.8759999999999999;0.279;0.0784;-5.898;0.0939;127.996;0.459;0.0;10;0;2
13092;['opm', 'pinoy pop punk', 'pinoy rock'];Kamikazee;0.0176;0.604;284987.0;0.7559999999999999;0.0;0.106;-4.85;0.0352;120.436;0.308;57.0;2;1;2
13093;['meme rap'];Kamil;7.74e-05;0.899;151667.0;0.535;0.0;0.12;-6.422999999999999;0.178;145.02;0.183;67.0;1;1;2
13094;['dark trap', 'emo rap', 'scream rap', 'underground hip hop'];Kamiyada+;0.0237;0.476;123661.0;0.7809999999999999;0.0;0.114;-4.71;0.103;93.474;0.175;58.0;0;1;1
13098;['anadolu rock', 'arabesk', 'classic turkish pop', 'turkish psych'];Kamuran Akkor;0.5379999999999999;0.531;210580.0;0.773;0.0;0.1;-8.211;0.076;81.98100000000002;0.7709999999999999;37.0;8;1;2
13103;['classic bollywood', 'filmi'];Kanan Devi;0.9910434782608692;0.4605652173913043;191572.08695652173;0.2244;0.5996813043478261;0.1797913043478261;-13.215521739130436;0.0657826086956521;93.12226086956524;0.4786521739130437;0.0;9;1;23
